name,status,Usage
Crystalsol,operating,Public
JBI Fish & Wings,operating,Private
COINPLUS,operating,Private
Imagine Communications,operating,Public
DNA13,operating,Private
Quickfire Games,operating,Public
Sente Inc.,operating,Private
Triosyn,operating,Private
Urgent.ly,operating,Public
Map Decisions,operating,Private
Omega Discovery Solutions,operating,Public
Axiata,operating,Private
Tripsuit,operating,Public
Stratics Networks Inc,operating,Private
LTG Exam Prep Platform,operating,Public
Littlstar,operating,Public
Aarki,operating,Private
Awesome Maps,operating,Public
Stroma Medical,operating,Private
Solasta,closed,Private
Storeness,operating,Public
Bizpora,operating,Public
LMC Diabetes & Endocrinology,operating,Private
Montage Healthcare Solutions,operating,Private
Farrago Comics,operating,Public
Syrinix,operating,Private
Talkway Communications,operating,Private
Mollejuo,operating,Private
Cymfony,operating,Private
MIT Energy Initiative,operating,Private
Lucent Health Solutions,operating,Public
thesweetlink,closed,Private
Boston Technologies,operating,Public
Wavii,operating,Public
"Dots ,LLC",operating,Public
Xetawave,operating,Public
Dental Corp,operating,Private
Expway,operating,Public
Avenger Networks,operating,Public
Ginio.com,operating,Public
Skyrobotic,operating,Private
Sijibang.com,operating,Public
Calolo,operating,Private
Taggify,operating,Public
Forterra Systems,operating,Public
Get Satisfaction,operating,Public
Mtone Wireless,operating,Private
EZChip,operating,Public
BioBots,operating,Public
Adamant Energy,operating,Public
Bunch,operating,Public
Enevate,operating,Private
GroundMetrics,operating,Public
Gruppo Argenta,operating,Private
GammaSite,closed,Public
MashON,operating,Private
Native Networks,operating,Private
Lucky Oyster,operating,Public
The Backscratchers,operating,Public
Eurekite,operating,Public
Pundit Arena,operating,Public
DashLuxe,closed,Public
Festicket,operating,Public
EAP Technology Systems,operating,Public
siXis,operating,Private
GoldSpot Media,operating,Public
E la Carte,operating,Private
Superior Global Solutions,operating,Public
Nowsta,operating,Public
Voalte,operating,Public
icomasoft,operating,Private
BTCjam,operating,Private
Pangaea Resources,operating,Public
BlogCN,operating,Private
Diffinity Genomics,operating,Public
KidStart,operating,Private
DUFL,operating,Private
IDRI (Infectious Disease Research Institute),operating,Public
Splurgy,operating,Private
beenz.com,operating,Private
REVA Medical,operating,Public
Indie Broadcast Network,closed,Private
Accurence,operating,Private
Minka,operating,Private
Com2uS Corp.,operating,Public
DYNAGENT SOFTWARE SL,operating,Public
AWP Energy,operating,Public
Xactly Corp,operating,Private
FreshMonk,operating,Public
Bandura,operating,Private
alooma,operating,Public
Xterprise Solutions,operating,Private
Velomedix,operating,Public
Hecare,operating,Public
ParinGenix,operating,Private
Chamelic,operating,Private
Slipstream,closed,Public
Peak 10,operating,Private
Theatro,operating,Public
BurstPoint Networks,operating,Public
StepOne,operating,Public
Metaome,operating,Public
Astrobotic Technology,operating,Public
FANCY CELLAR - 品庄酒,operating,Private
Monitoring Division,operating,Private
DataMotion,operating,Public
Gumhouse,operating,Public
Nookster,operating,Public
Magzter,operating,Public
Capital Esquire,operating,Public
Mantis Deposition,operating,Public
Immy,operating,Private
Analyze,operating,Public
Parodys Entertainment,operating,Public
Charles River Laboratories International,operating,Public
SynapticMash,operating,Private
50 Partners,operating,Private
GoAlbert,operating,Public
Imitix,operating,Private
TOBESOFT,operating,Public
SoSocio,operating,Public
Chicken Out Rotisserie,operating,Private
Acacia Research,operating,Private
OSG Records Management,operating,Public
World Class Driving,operating,Public
PocketMarket,operating,Public
Connectbeam,operating,Public
NA-KD.com - The next generation fashion marketplace,operating,Private
My Study Rewards,operating,Public
Cerevast Therapeutics,operating,Public
Shoplins,operating,Private
kibow,operating,Private
Amatra SmartSource,operating,Private
Apokalyyis,operating,Public
HeartWare International,operating,Private
Jobaline,operating,Private
Searchwords Pty Ltd,operating,Private
Scholar Rock,operating,Public
Beyond the Box,operating,Public
Silentium,operating,Public
SYLOB,operating,Public
Accedian Networks,operating,Public
Emerging Threats,operating,Private
Pulse Aerospace,operating,Public
Alta Rail Technology,operating,Private
Habitissimo,operating,Private
Yaoota.com,operating,Private
CloudDesk,operating,Private
Bringhub,operating,Private
Nimbus Concepts,operating,Private
TalentIQ,operating,Public
Square Yards,operating,Private
RecordSled,operating,Private
SP3H,operating,Private
